2019-01-04T19:43:40+00:00,smite-the-new-year
2019-01-08T11:02:43+00:00,wielder-of-excalibur-5-24-console-update-notes
2019-01-22T16:00:11+00:00,season-6-6-1-update-notes
2019-02-20T17:33:50+00:00,smite-the-world-serpent-update-notes
2019-03-07T13:58:04+00:00,the-master-soulbinder-update-notes
2019-03-20T16:47:37+00:00,darkness-falls-update-notes
2019-04-17T16:42:09+00:00,sands-and-skies-update-notes
2019-05-15T16:36:58+00:00,neo-olympia-update-notes
2019-06-12T16:21:19+00:00,ruler-of-the-heavens-update-notes
2019-07-09T12:41:35+00:00,mid-season-update-notes
2019-08-26T12:22:34+00:00,queen-of-the-underworld-update-notes
2019-09-04T16:34:05+00:00,odyssey-underworld-update-notes
2019-10-02T16:21:05+00:00,goddess-of-rivers-update-notes
2019-10-30T16:21:29+00:00,rwby-update-notes
2019-11-26T17:31:00+00:00,the-vigilant-update-notes
2020-01-08T16:17:59+00:00,season-7-update-notes
2020-02-05T17:20:10+00:00,the-ascendant-warrior-7-2-update-notes
2020-03-04T17:03:12+00:00,grim-omens-7-3-update-notes
2020-04-01T14:58:33+00:00,grim-omens-7-3-bonus-update-notes-live-april-7
2020-04-01T16:00:45+00:00,witch-of-the-woods-7-4-update-notes
2020-04-29T14:37:36+00:00,witch-of-the-woods-7-4-bonus-update-notes-live-may-5
2020-04-29T14:39:13+00:00,final-boss-7-5-update-notes
2020-05-27T14:47:55+00:00,7-5-bonus-update-notes-live-june-2
2020-05-27T14:51:14+00:00,7-6-update-notes-the-great-dreamer
2020-06-24T14:43:05+00:00,7-6-bonus-update-notes-live-june-30
2020-06-24T14:50:37+00:00,mid-season-update-7-7-notes
2020-07-22T14:38:21+00:00,update-notes-7-8-god-of-the-moon
2020-07-22T14:38:33+00:00,7-7-bonus-update-notes-live-july-28
2020-08-19T14:45:32+00:00,odyssey-reckoning-7-9-update-notes
2020-08-19T14:45:51+00:00,7-8-bonus-update-notes-live-august-25
2020-09-16T14:38:03+00:00,7-9-bonus-update-notes-live-september-22
2020-09-16T14:38:18+00:00,the-trickster-god-7-10-update-notes
2020-10-14T14:43:35+00:00,7-10-bonus-update-notes-live-october-20
2020-10-14T14:44:14+00:00,tmnt-7-11-update-notes
2020-11-18T12:14:34+00:00,the-legendary-tanuki-7-12-update-notes
2021-01-07T18:19:35+00:00,season-8-update-notes
2021-02-03T15:46:34+00:00,8-1-bonus-update-notes-live-february-9
2021-02-03T15:46:50+00:00,goddess-of-the-salt-sea-8-2-update-notes
2021-03-03T15:45:31+00:00,8-2-bonus-update-notes-live-march-9
2021-03-03T15:46:00+00:00,talons-of-tyranny-8-3-update-notes
2021-03-31T14:49:03+00:00,8-3-bonus-update-notes-live-april-6
2021-03-31T14:49:48+00:00,king-of-uruk-8-4-update-notes
2021-04-28T15:08:22+00:00,monstercat-8-5-update-notes
2021-04-28T15:09:10+00:00,8-4-bonus-update-notes-live-may-4
2021-05-26T14:45:36+00:00,8-5-bonus-update-notes-live-june-1
2021-05-26T14:49:33+00:00,the-dark-enchantress-8-6-update-notes
2021-06-23T14:51:59+00:00,8-6-bonus-update-notes-live-june-29
2021-06-23T14:53:01+00:00,midseason-8-7-update-notes
2021-07-27T08:49:42+00:00,8-7-bonus-update-notes-live-july-27
2021-08-04T14:54:22+00:00,the-ceaseless-whirlpool-8-8-update-notes
2021-09-01T14:53:58+00:00,8-8-bonus-update-notes-live-september-7th
2021-09-01T14:54:18+00:00,cleanliness-vs-godliness-8-9-update-notes
2021-09-29T14:56:00+00:00,8-9-bonus-update-notes-live-october-5
2021-09-29T14:59:51+00:00,the-queen-of-the-banshees-8-10-update-notes
2021-10-27T14:55:41+00:00,8-10-bonus-update-notes-live-november-2
2021-10-27T14:55:56+00:00,transformers-8-11-update-notes
2021-11-23T15:55:47+00:00,8-11-bonus-update-notes-live-november-30
2021-11-23T15:56:00+00:00,titan-of-the-cosmos-8-12-update-notes
2022-01-05T16:26:36+00:00,season-9-9-1-update-notes
2022-02-02T15:58:19+00:00,9-1-bonus-update-notes-live-february-8
2022-02-02T15:58:41+00:00,the-destroyer-9-2-update-notes
2022-03-02T15:54:53+00:00,9-2-bonus-update-notes-live-march-8
2022-03-02T15:56:05+00:00,heavenly-light-9-3-update-notes
2022-04-04T17:15:35+00:00,9-3-bonus-update-notes-live-april-5
2022-04-13T14:59:27+00:00,the-jade-emperor-9-4-update-notes
2022-05-11T14:58:45+00:00,slipknot-9-5-update-notes
2022-06-09T15:01:46+00:00,round-table-9-6-update
2022-06-22T15:01:51+00:00,9-6-bonus-update-notes-live-june-28
2022-07-06T14:55:13+00:00,midseason-9-7-update
2022-07-20T13:53:37+00:00,9-7-bonus-1-update-notes-live-july-26
2022-08-02T14:06:02+00:00,9-7-bonus-2-update-notes-live-august-9
2022-08-17T15:03:07+00:00,love-and-war-9-8-update
2022-08-31T11:30:27+00:00,9-8-bonus-update-notes-live-september-6
2022-09-14T14:54:28+00:00,houses-at-war-9-9-update-notes
2022-09-28T13:03:32+00:00,9-9-bonus-update-notes-live-october-4
2022-10-12T15:03:18+00:00,hero-of-hawai%ca%bbi-9-10-update
2022-10-26T11:36:36+00:00,9-10-bonus-update-notes-live-november-1
2022-11-09T16:01:00+00:00,runescape-update-9-11
2022-11-23T12:50:56+00:00,9-11-bonus-update-live-november-29
2022-12-07T15:58:45+00:00,odins-onslaught-update-9-12
2023-01-18T15:58:18+00:00,fire-giant-update-10-1-update-notes
